Campus, Long, Lat
Abington,-75.1106,40.1153
Altoona,-78.4106,40.5411
Beaver,-80.2964,40.6788
Berks,-75.9743,40.3588
Brandywine,-75.4471,39.9264
Dickinson Law,-77.1976,40.1996
DuBois,-78.7518,41.1276
Erie,-79.9875,42.1202
Fayette,-79.6604,39.946
Greater Allegheny,-79.8275,40.3448
Great Valley,-75.5225,40.0523
Harrisburg,-76.7452,40.2042
Hazleton,-76.0287,40.9827
College of Medicine,-76.6766,40.264
Lehigh Valley,-75.4025,40.5591
Mont Alto,-77.5433,39.8408
New Kensington,-79.6974,40.5513
Schuylkill,-77.0259,41.2357
Scranton,-76.165,40.6409
Shenango,-75.62,41.4395
University Park,-80.5092,41.2352
Wilkes-Barre,-77.8653,40.8148
York,-76.0152,41.3056
